DFT_ID,Alloy,Ti,Zr,Hf,V,Nb,Ta,Mo,W,Re
DFT_0112,Ti11Nb22Ta22Mo23W22,11,0,0,0,22,22,23,22,0
DFT_0113,Ti11Hf11V8Nb35Ta35,11,0,11,8,35,35,0,0,0
DFT_0114,Ti13Hf15Nb43Ta27Re2,13,0,15,0,43,27,0,0,2
DFT_0115,Ti14V29Nb29Ta28,14,0,0,29,29,28,0,0,0
DFT_0116,Ti14Zr14Hf15Nb14Ta14Mo15W14,14,14,15,0,14,14,15,14,0
DFT_0117,Ti15Hf5Nb55Ta25,15,0,5,0,55,25,0,0,0
DFT_0118,Ti15Hf15Nb45Ta25,15,0,15,0,45,25,0,0,0
DFT_0119,Ti15Zr5Hf15Nb40Ta25,15,5,15,0,40,25,0,0,0
DFT_0120,Ti15Zr45Nb30Ta10,15,45,0,0,30,10,0,0,0
DFT_0121,Ti16Nb21Ta21Mo21W21,16,0,0,0,21,21,21,21,0
DFT_0122,Ti16Zr16Hf17Nb17Ta17W17,16,16,17,0,17,17,0,17,0
DFT_0123,Ti16Zr17Hf17Nb17Ta17Mo16,16,17,17,0,17,17,16,0,0
DFT_0124,Ti17V17Nb17Ta16Mo17W16,17,0,0,17,17,16,17,16,0
DFT_0125,Ti18Nb73Mo9,18,0,0,0,73,0,9,0,0
DFT_0126,Ti18V5Nb71W6,18,0,0,5,71,0,0,6,0
DFT_0127,Ti18Zr5Nb77,18,5,0,0,77,0,0,0,0
DFT_0128,Ti20Nb20Ta20Mo20W20,20,0,0,0,20,20,20,20,0
DFT_0129,Ti20V20Nb20Ta20W20,20,0,0,20,20,20,0,20,0
DFT_0130,Ti20Hf20Nb20Ta20Mo20,20,0,20,0,20,20,20,0,0
DFT_0131,Ti20Zr20Hf20Ta20Mo20,20,20,20,0,0,20,20,0,0
DFT_0132,Ti20Zr20Hf20Nb20Ta20,20,20,20,0,20,20,0,0,0
DFT_0133,Ti25V25Nb25Mo25,25,0,0,25,25,0,25,0,0
DFT_0134,Ti25Hf25Nb25Ta25,25,0,25,0,25,25,0,0,0
DFT_0135,Ti25Hf25V25Nb25,25,0,25,25,25,0,0,0,0
DFT_0136,Ti25Zr25Nb25Ta25,25,25,0,0,25,25,0,0,0
DFT_0137,Ti25Zr25V25Nb25,25,25,0,25,25,0,0,0,0
DFT_0138,Ti25Zr25Hf25Ta25,25,25,25,0,0,25,0,0,0
DFT_0139,Ti25Zr25Hf25Nb12Ta13,25,25,25,0,12,13,0,0,0
DFT_0140,Ti25Zr25Hf25Nb25,25,25,25,0,25,0,0,0,0
DFT_0141,Ti28Zr28Hf28Ta16,28,28,28,0,0,16,0,0,0
DFT_0142,Ti28Zr29Hf29Ta14,28,29,29,0,0,14,0,0,0
DFT_0143,Ti29Zr28Hf29Nb14,29,28,29,0,14,0,0,0,0
DFT_0144,Ti30Zr29Hf29Ta12,30,29,29,0,0,12,0,0,0
DFT_0145,Ti31Zr32Nb31Ta3Mo3,31,32,0,0,31,3,3,0,0
DFT_0146,Ti33V34Nb33,33,0,0,34,33,0,0,0,0
DFT_0147,Ti33Zr33V17Nb17,33,33,0,17,17,0,0,0,0
DFT_0148,Ti34V22Nb22Ta22,34,0,0,22,22,22,0,0,0
DFT_0149,Ti34Zr33Nb33,34,33,0,0,33,0,0,0,0
DFT_0150,Ti35Zr27Hf27Nb5Ta6,35,27,27,0,5,6,0,0,0
DFT_0151,Ti35Zr35Nb20Mo10,35,35,0,0,20,0,10,0,0
DFT_0152,Ti37Hf23V15Nb22W3,37,0,23,15,22,0,0,3,0
DFT_0153,Ti38Hf24V15Nb23,38,0,24,15,23,0,0,0,0
DFT_0154,Ti41Hf16V27Nb16,41,0,16,27,16,0,0,0,0
DFT_0155,Ti42Hf21V16Nb21,42,0,21,16,21,0,0,0,0
DFT_0156,Ti43Zr14V28Nb14Mo1,43,14,0,28,14,0,1,0,0
DFT_0157,Ti43Zr14V29Nb14,43,14,0,29,14,0,0,0,0
DFT_0158,Ti43Zr42Nb5Ta5Mo5,43,42,0,0,5,5,5,0,0
DFT_0159,Ti44Zr14V28Nb14,44,14,0,28,14,0,0,0,0
DFT_0160,Ti44Zr30Nb26,44,30,0,0,26,0,0,0,0
DFT_0161,Ti45Zr45Nb5Mo5,45,45,0,0,5,0,5,0,0
DFT_0162,Ti45Zr45Nb5Ta5,45,45,0,0,5,5,0,0,0
DFT_0163,Ti49Zr32Nb13Ta6,49,32,0,0,13,6,0,0,0
DFT_0164,Ti56Zr30Nb14,56,30,0,0,14,0,0,0,0
DFT_0165,Ta90W2Re8,0,0,0,0,0,90,0,2,8
DFT_0166,Nb5Ta45Mo8W42,0,0,0,0,5,45,8,42,0
DFT_0167,Nb22Ta34Mo24W20,0,0,0,0,22,34,24,20,0
DFT_0168,Nb24Ta28Mo21W27,0,0,0,0,24,28,21,27,0
DFT_0169,Nb26Ta23Mo28W23,0,0,0,0,26,23,28,23,0
DFT_0170,Nb27Ta19Mo31W23,0,0,0,0,27,19,31,23,0
DFT_0171,Nb28Ta25Mo25W22,0,0,0,0,28,25,25,22,0
DFT_0172,Nb29Ta14Mo24W33,0,0,0,0,29,14,24,33,0
DFT_0173,Nb32Ta6Mo34W28,0,0,0,0,32,6,34,28,0
DFT_0174,Nb35Ta5Mo20W40,0,0,0,0,35,5,20,40,0
DFT_0175,Nb35Ta35Mo1W29,0,0,0,0,35,35,1,29,0
DFT_0176,Nb50Mo23W27,0,0,0,0,50,0,23,27,0
DFT_0177,Nb61Mo17W22,0,0,0,0,61,0,17,22,0
DFT_0178,Nb66Mo23W11,0,0,0,0,66,0,23,11,0
DFT_0179,Nb67Mo12W21,0,0,0,0,67,0,12,21,0
DFT_0180,Nb69Mo17W14,0,0,0,0,69,0,17,14,0
DFT_0181,Nb72Mo12W16,0,0,0,0,72,0,12,16,0
DFT_0182,Nb91Ta6W3,0,0,0,0,91,6,0,3,0
DFT_0183,V8Nb10Ta35Mo10W37,0,0,0,8,10,35,10,37,0
DFT_0184,V8Nb45Ta47,0,0,0,8,45,47,0,0,0
DFT_0185,V14Nb45Ta41,0,0,0,14,45,41,0,0,0
DFT_0186,V17Nb20Ta20Mo20W23,0,0,0,17,20,20,20,23,0
DFT_0187,V20Nb25Ta25Mo30,0,0,0,20,25,25,30,0,0
DFT_0188,V21Nb25Ta25W29,0,0,0,21,25,25,0,29,0
DFT_0189,V24Nb39Ta37,0,0,0,24,39,37,0,0,0
DFT_0190,V28Nb34Ta38,0,0,0,28,34,38,0,0,0
DFT_0191,Hf1Ta79W16Re4,0,0,1,0,0,79,0,16,4
DFT_0192,Hf1Ta84W15,0,0,1,0,0,84,0,15,0
DFT_0193,Hf1Ta85W9Re5,0,0,1,0,0,85,0,9,5
DFT_0194,Hf1Ta86W6Re7,0,0,1,0,0,86,0,6,7
DFT_0195,Hf1Ta88W7Re4,0,0,1,0,0,88,0,7,4
DFT_0196,Hf1Ta93W6,0,0,1,0,0,93,0,6,0
DFT_0197,Hf1V14Nb41Ta44,0,0,1,14,41,44,0,0,0
DFT_0198,Hf2Ta90W3Re5,0,0,2,0,0,90,0,3,5
DFT_0199,Hf2Ta95W3,0,0,2,0,0,95,0,3,0
DFT_0200,Hf2V19Nb38Ta41,0,0,2,19,38,41,0,0,0
DFT_0201,Hf3Ta82W13Re2,0,0,3,0,0,82,0,13,2
DFT_0202,Hf3Ta90W5Re2,0,0,3,0,0,90,0,5,2
DFT_0203,Hf3Nb30Ta31W36,0,0,3,0,30,31,0,36,0
