DFT_ID,Alloy,SWS,error_type,message
DFT_0132,Ti20Zr20Hf20Nb20Ta20,3.15098,outlier_energy,"total energy -15572.348 Ry lies outside the ground-state cluster [-15599.045, -15599.040] Ry"
DFT_0134,Ti25Hf25Nb25Ta25,3.06875,outlier_energy,"total energy -17665.762 Ry lies outside the ground-state cluster [-17699.204, -17699.198] Ry"
DFT_0141,Ti28Zr28Hf28Ta16,3.19074,outlier_energy,"total energy -15911.531 Ry lies outside the ground-state cluster [-15948.905, -15948.900] Ry"
DFT_0141,Ti28Zr28Hf28Ta16,3.22926,outlier_energy,"total energy -15911.534 Ry lies outside the ground-state cluster [-15948.905, -15948.900] Ry"
DFT_0142,Ti28Zr29Hf29Ta14,3.234491,outlier_energy,"total energy -15659.093 Ry lies outside the ground-state cluster [-15697.799, -15697.794] Ry"
DFT_0143,Ti29Zr28Hf29Nb14,3.192927,outlier_energy,"total energy -12298.574 Ry lies outside the ground-state cluster [-12337.282, -12337.277] Ry"
DFT_0143,Ti29Zr28Hf29Nb14,3.231473,outlier_energy,"total energy -12298.577 Ry lies outside the ground-state cluster [-12337.282, -12337.277] Ry"
DFT_0144,Ti30Zr29Hf29Ta12,3.195511,outlier_energy,"total energy -15068.194 Ry lies outside the ground-state cluster [-15106.902, -15106.897] Ry"
DFT_0144,Ti30Zr29Hf29Ta12,3.234089,outlier_energy,"total energy -15068.198 Ry lies outside the ground-state cluster [-15106.902, -15106.897] Ry"
DFT_0165,Ta90W2Re8,2.960828,missing_output,kfcd output missing for DFT_0165_2.960828
DFT_0165,Ta90W2Re8,2.997457,missing_output,kfcd output missing for DFT_0165_2.997457
DFT_0191,Hf1Ta79W16Re4,2.901056,missing_output,kfcd output missing for DFT_0191_2.901056
DFT_0191,Hf1Ta79W16Re4,2.954232,missing_output,kfcd output missing for DFT_0191_2.954232
DFT_0191,Hf1Ta79W16Re4,2.972834,missing_output,kfcd output missing for DFT_0191_2.972834
DFT_0191,Hf1Ta79W16Re4,3.044613,missing_output,kfcd output missing for DFT_0191_3.044613
DFT_0191,Hf1Ta79W16Re4,3.080502,missing_output,kfcd output missing for DFT_0191_3.080502
DFT_0191,Hf1Ta79W16Re4,3.100421,outlier_energy,"total energy -31500.716 Ry lies outside the ground-state cluster [-31502.052, -31502.038] Ry"
DFT_0191,Hf1Ta79W16Re4,3.136968,outlier_energy,"total energy -31500.712 Ry lies outside the ground-state cluster [-31502.052, -31502.038] Ry"
DFT_0192,Hf1Ta84W15,2.999421,missing_output,kfcd output missing for DFT_0192_2.999421
DFT_0192,Hf1Ta84W15,3.090723,outlier_energy,"total energy -31402.509 Ry lies outside the ground-state cluster [-31403.894, -31403.879] Ry"
DFT_0193,Hf1Ta85W9Re5,2.997162,missing_output,kfcd output missing for DFT_0193_2.997162
DFT_0193,Hf1Ta85W9Re5,3.05199,outlier_energy,"total energy -31446.900 Ry lies outside the ground-state cluster [-31448.286, -31448.271] Ry"
DFT_0193,Hf1Ta85W9Re5,3.088395,outlier_energy,"total energy -31446.901 Ry lies outside the ground-state cluster [-31448.286, -31448.271] Ry"
DFT_0194,Hf1Ta86W6Re7,2.996966,missing_output,kfcd output missing for DFT_0194_2.996966
DFT_0194,Hf1Ta86W6Re7,3.051791,outlier_energy,"total energy -31458.176 Ry lies outside the ground-state cluster [-31459.562, -31459.548] Ry"
DFT_0194,Hf1Ta86W6Re7,3.088194,outlier_energy,"total energy -31458.177 Ry lies outside the ground-state cluster [-31459.562, -31459.548] Ry"
DFT_0195,Hf1Ta88W7Re4,2.964708,missing_output,kfcd output missing for DFT_0195_2.964708
DFT_0195,Hf1Ta88W7Re4,3.148092,outlier_energy,"total energy -31403.506 Ry lies outside the ground-state cluster [-31404.844, -31404.840] Ry"
DFT_0196,Hf1Ta93W6,2.973244,missing_output,kfcd output missing for DFT_0196_2.973244
DFT_0196,Hf1Ta93W6,3.157156,outlier_energy,"total energy -31305.348 Ry lies outside the ground-state cluster [-31306.686, -31306.681] Ry"
DFT_0197,Hf1V14Nb41Ta44,2.982727,outlier_energy,"total energy -17450.289 Ry lies outside the ground-state cluster [-17451.628, -17451.619] Ry"
DFT_0198,Hf2Ta90W3Re5,2.969849,missing_output,kfcd output missing for DFT_0198_2.969849
DFT_0198,Hf2Ta90W3Re5,3.153551,outlier_energy,"total energy -31370.240 Ry lies outside the ground-state cluster [-31372.914, -31372.909] Ry"
DFT_0199,Hf2Ta95W3,2.979064,missing_output,kfcd output missing for DFT_0199_2.979064
DFT_0200,Hf2V19Nb38Ta41,2.936481,outlier_energy,"total energy -16679.035 Ry lies outside the ground-state cluster [-16681.714, -16681.710] Ry"
DFT_0200,Hf2V19Nb38Ta41,3.009136,outlier_energy,"total energy -16679.044 Ry lies outside the ground-state cluster [-16681.714, -16681.710] Ry"
DFT_0201,Hf3Ta82W13Re2,2.966066,missing_output,kfcd output missing for DFT_0201_2.966066
DFT_0201,Hf3Ta82W13Re2,3.149534,outlier_energy,"total energy -31400.829 Ry lies outside the ground-state cluster [-31404.838, -31404.833] Ry"
DFT_0202,Hf3Ta90W5Re2,2.975378,missing_output,kfcd output missing for DFT_0202_2.975378
DFT_0202,Hf3Ta90W5Re2,3.159422,outlier_energy,"total energy -31314.423 Ry lies outside the ground-state cluster [-31318.431, -31318.426] Ry"
DFT_0203,Hf3Nb30Ta31W36,3.088612,outlier_energy,"total energy -24522.120 Ry lies outside the ground-state cluster [-24526.128, -24526.120] Ry"
DFT_0203,Hf3Nb30Ta31W36,3.12502,outlier_energy,"total energy -24522.116 Ry lies outside the ground-state cluster [-24526.128, -24526.120] Ry"
DFT_0204,Hf3Nb31Ta35W31,2.9488,outlier_energy,"total energy -24231.992 Ry lies outside the ground-state cluster [-24236.009, -24235.988] Ry"
DFT_0204,Hf3Nb31Ta35W31,3.074838,outlier_energy,"total energy -24232.002 Ry lies outside the ground-state cluster [-24236.009, -24235.988] Ry"
DFT_0204,Hf3Nb31Ta35W31,3.09472,outlier_energy,"total energy -24232.001 Ry lies outside the ground-state cluster [-24236.009, -24235.988] Ry"
DFT_0204,Hf3Nb31Ta35W31,3.1312,outlier_energy,"total energy -24231.998 Ry lies outside the ground-state cluster [-24236.009, -24235.988] Ry"
DFT_0205,Hf4Ta81W14Re1,2.969073,missing_output,kfcd output missing for DFT_0205_2.969073
